iter	Passed	Remaining
0	29	5265
1	59	5281
2	88	5236
3	119	5243
4	149	5216
5	177	5156
6	205	5076
7	231	4987
8	260	4944
9	288	4898
10	315	4841
11	343	4803
12	370	4754
13	396	4702
14	423	4661
15	451	4631
16	479	4594
17	507	4564
18	535	4538
19	562	4497
20	589	4465
21	616	4430
22	644	4398
23	671	4362
24	698	4330
25	725	4298
26	752	4265
27	779	4233
28	808	4209
29	835	4176
30	861	4140
31	889	4111
32	917	4087
33	944	4056
34	971	4026
35	999	3996
36	1026	3968
37	1054	3940
38	1081	3908
39	1108	3880
40	1136	3851
41	1164	3825
42	1191	3797
43	1218	3767
44	1246	3738
45	1273	3709
46	1300	3680
47	1327	3651
48	1354	3622
49	1382	3594
50	1409	3564
51	1436	3534
52	1462	3504
53	1489	3474
54	1516	3446
55	1543	3417
56	1571	3391
57	1598	3363
58	1626	3335
59	1654	3308
60	1681	3280
61	1708	3252
62	1736	3225
63	1765	3200
64	1793	3173
65	1822	3148
66	1851	3121
67	1878	3093
68	1905	3064
69	1932	3037
70	1960	3010
71	1987	2980
72	2015	2954
73	2043	2927
74	2071	2899
75	2098	2871
76	2126	2844
77	2152	2814
78	2180	2787
79	2207	2758
80	2235	2731
81	2262	2703
82	2289	2675
83	2316	2647
84	2343	2618
85	2370	2590
86	2397	2562
87	2424	2534
88	2451	2506
89	2479	2479
90	2506	2451
91	2533	2423
92	2561	2396
93	2589	2368
94	2616	2341
95	2645	2314
96	2675	2289
97	2703	2262
98	2731	2235
99	2758	2206
100	2785	2178
101	2812	2150
102	2839	2122
103	2867	2095
104	2896	2068
105	2923	2040
106	2950	2013
107	2977	1985
108	3005	1957
109	3031	1929
110	3058	1901
111	3085	1873
112	3112	1845
113	3140	1818
114	3167	1790
115	3195	1763
116	3223	1735
117	3250	1707
118	3277	1680
119	3304	1652
120	3331	1624
121	3358	1596
122	3385	1569
123	3412	1541
124	3439	1513
125	3466	1485
126	3495	1458
127	3523	1431
128	3550	1403
129	3577	1375
130	3605	1348
131	3632	1321
132	3659	1293
133	3687	1266
134	3715	1238
135	3742	1210
136	3770	1183
137	3798	1156
138	3825	1128
139	3853	1101
140	3880	1073
141	3907	1045
142	3936	1018
143	3963	990
144	3991	963
145	4018	935
146	4045	908
147	4072	880
148	4099	852
149	4127	825
150	4154	797
151	4182	770
152	4209	742
153	4237	715
154	4265	687
155	4292	660
156	4319	632
157	4348	605
158	4375	577
159	4402	550
160	4430	522
161	4458	495
162	4486	467
163	4514	440
164	4541	412
165	4568	385
166	4595	357
167	4622	330
168	4649	302
169	4676	275
170	4703	247
171	4731	220
172	4758	192
173	4785	165
174	4812	137
175	4839	109
176	4866	82
177	4893	54
178	4920	27
179	4948	0
